GenNb-3402   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2717.7541997213284   ||  StdChi2: 2111.1830532086697   ||  
GenNb-3421   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2716.417354084905   ||  StdChi2: 2111.2431486599776   ||  
GenNb-3433   ||  MinChi2: 162.41056488213033   ||  MeanChi2: 2702.743640679629   ||  StdChi2: 2125.2882376276434   ||  
GenNb-3436   ||  MinChi2: 161.57744139986318   ||  MeanChi2: 2702.6603283314025   ||  StdChi2: 2125.3878323013396   ||  
GenNb-3463   ||  MinChi2: 161.57744139986318   ||  MeanChi2: 2702.0499794103303   ||  StdChi2: 2125.7349755723135   ||  
GenNb-3632   ||  MinChi2: 161.57744139986318   ||  MeanChi2: 2692.211460074942   ||  StdChi2: 2114.9477776065096   ||  
GenNb-3694   ||  MinChi2: 161.57744139986318   ||  MeanChi2: 2685.1284885957366   ||  StdChi2: 2117.6710458614325   ||  
GenNb-3695   ||  MinChi2: 161.57744139986318   ||  MeanChi2: 2678.859493303233   ||  StdChi2: 2124.3152105904182   ||  
GenNb-3698   ||  MinChi2: 161.57744139986318   ||  MeanChi2: 2669.1066235020367   ||  StdChi2: 2113.9601404102523   ||  
GenNb-3788   ||  MinChi2: 161.57744139986318   ||  MeanChi2: 2639.9154386618893   ||  StdChi2: 2051.0125428504857   ||  
